,관서명,주소,전화번호
29,서대문소방서 서대문 연희 119 안전센터,서울특별시 서대문구 연희로 182 (연희동),02-336-0119
30,은평소방서 수색 119 안전센터,서울특별시 은평구 수색로 320 (수색동),02-376-0119
31,은평소방서 역촌 119 안전센터,서울특별시 은평구 갈현로 80 (역촌동),02-352-2119
32,은평소방서 녹번 119 안전센터,서울특별시 은평구 은평로 245 (녹번동),02-387-0119
33,은평소방서 진관 119 안전센터,서울특별시 은평구 통일로 962(진관동),02-354-0119
34,노원소방서 수락 119 안전센터,서울특별시 노원구 동일로 1694 (상계동),02-937-6119
35,노원소방서 월계 119 안전센터,서울특별시 노원구 월계로 323 (월계동),02-907-0119
36,노원소방서 공릉 119 안전센터,서울특별시 노원구 화랑로 482 (공릉동),02-976-0119
37,노원소방서 상계 119 안전센터,서울특별시 노원구 노원로26길 111 (상계동),02-936-0119
38,노원소방서 하계 119 안전센터,서울특별시 노원구 한글비석로1길 8 (하계동),02-972-1119
39,도봉소방서 쌍문 119 안전센터,서울특별시 도봉구 노해로 152 (쌍문동),02-996-0119
40,도봉소방서 창동 119 안전센터,서울특별시 도봉구 해등로 25 (창동),02-998-9117
41,도봉소방서 도봉 119 안전센터,서울특별시 도봉구 도봉로 721 (방학동),02-3492-0119
42,도봉소방서 방학 119 안전센터,서울특별시 도봉구 도봉로 666 (방학동),02-3492-9113
43,성북소방서 장위 119 안전센터,서울특별시 성북구 한천로 640 (장위동),02-917-0344
44,성북소방서 길음 119 안전센터,서울특별시 성북구 정릉로 321 (길음동),02-987-0272
45,성북소방서 돈암 119 안전센터,서울특별시 성북구 보문로 192 (삼선동4가),02-925-1158
46,성북소방서 종암 119 안전센터,서울특별시 성북구 종암로27길 3 (종암동),02-925-1119
47,영등포소방서 신길 119 안전센터,서울특별시 영등포구 영등포로84길 31 (신길동),02-834-0119
48,영등포소방서 대림 119 안전센터,서울특별시 영등포구 도림로 212 (신길동),02-846-0119
49,영등포소방서 당산 119 안전센터,서울특별시 영등포구 양평로 70-1 (당산동6가),02-2633-0119
50,영등포소방서 여의도 119 안전센터,서울특별시 영등포구 의사당대로 162 (여의도동),02-783-0119
51,영등포소방서 영등포 119 안전센터,서울특별시 영등포구 문래로 197 (영등포동4가),02-2676-0119
52,중랑소방서 중화 119 안전센터,서울특별시 중랑구 동일로 783 (중화동),02-496-1191
53,중랑소방서 망우 119 안전센터,서울특별시 중랑구 용마산로 524 (망우동),02-493-7119
54,중랑소방서 면목 119 안전센터,서울특별시 중랑구 동일로 475 (면목동),02-491-5119
55,중랑소방서 신내 119 안전센터,서울특별시 중랑구 신내로 183 (신내동),02-3422-1196
56,동대문소방서 휘경 119 안전센터,서울특별시 동대문구 망우로 106 (휘경동),02-2213-0119
57,동대문소방서 용두 119 안전센터,서울특별시 동대문구 왕산로 76 (용두동),02-928-0119
58,동대문소방서 전농 119 안전센터,서울특별시 동대문구 황물로 3 (전농동),02-2215-0119
59,동대문소방서 청량리 119 안전센터,서울특별시 동대문구 왕산로 299 (청량리동),02-962-0119
60,동대문소방서 동대문 장안 119 안전센터,서울특별시 동대문구 장한로 34 (장안동),02-2245-0119
61,용산소방서 서빙고 119 안전센터,서울특별시 용산구 서빙고로67길 7(서빙고동),02-795-7119
62,용산소방서 후암 119 안전센터,서울특별시 용산구 후암로 34 (후암동),02-754-0119
63,용산소방서 이태원 119 안전센터,서울특별시 용산구 이태원로 196 (이태원동),02-798-0119
64,용산소방서 한강로 119 안전센터,서울특별시 용산구 한강대로 167 (한강로2가),02-793-0119
65,성동소방서 성수 119 안전센터,서울특별시 성동구 뚝섬로 452 (성수동2가),02-2622-1751
66,성동소방서 성동 금호 119 안전센터,서울특별시 성동구 난계로 19 (금호동1가),02-2622-1771
67,성동소방서 왕십리(구 행당) 119 안전센터,서울특별시 성동구 고산자로 249 (도선동),02-2622-1761
68,성동소방서 행당(구 송정) 119 안전센터,서울특별시 성동구 살곶이길 331(행당동),02-2622-1605
69,광진소방서 중곡 119 안전센터,서울특별시 광진구 용마산로 150 (중곡동),02-453-2119
70,광진소방서 능동 119 안전센터,서울특별시 광진구 능동로 242 (능동),02-447-0119
71,광진소방서 구의 119 안전센터,서울특별시 광진구 광나루로 480 (구의동),02-447-1194
72,중부소방서 서울 신당 119 안전센터,서울특별시 중구 다산로8길 2 (신당동),02-2238-0698
73,중부소방서 서울 회현 119 안전센터,서울특별시 중구 소공로 30 (회현동2가),02-775-0119
74,중부소방서 서울 충무로 119 안전센터,서울특별시 중구 충무로 11 (충무로3가),02-2265-0119
75,중부소방서 서울 을지로 119 안전센터,서울특별시 중구 을지로45길 43 (신당동),02-2235-0119
76,중부소방서 서울 무학 119 안전센터,서울특별시 중구 퇴계로 394 (무학동),02-2252-3311
77,종로소방서 숭인 119 안전센터,서울특별시 종로구 숭인동길 63 (숭인동),02-929-0921
78,종로소방서 신영 119 안전센터,서울특별시 종로구 진흥로 477 (신영동),02-391-0119
79,종로소방서 연건 119 안전센터,서울특별시 종로구 대학로 91 (연건동),02-762-0119
80,종로소방서 종로 119 안전센터,서울특별시 종로구 돈화문로 30 (묘동),02-764-0119
81,종로소방서 신교 119 안전센터,서울특별시 종로구 자하문로 93 (신교동),02-736-0119
82,종로소방서 세종로 119 안전센터,서울특별시 종로구 종로1길 28 (수송동),02-734-0119
83,강북소방서 서울 삼각산 119 안전센터,서울특별시 강북구 솔샘로 208 (미아동),02-983-5119
84,강북소방서 서울 미아 119 안전센터,서울특별시 강북구 도봉로 125 (미아동),02-983-9111
85,강북소방서 서울 우이 119 안전센터,서울특별시 강북구 삼각산로 111 (수유동),02-998-9116
86,구로소방서 구로 공단 119 안전센터,서울특별시 구로구 디지털로34길 56 (구로동),02-855-0119
87,구로소방서 신도림 119 안전센터,서울특별시 구로구 경인로59길 57 (신도림동),02-2671-8119
88,구로소방서 구로 시흥 119 안전센터,서울특별시 금천구 시흥대로45길 31 (시흥동),02-806-1119
89,구로소방서 독산 119 안전센터,서울특별시 금천구 시흥대로 386 (독산동),02-869-1119
90,구로소방서 구로 119 안전센터,서울특별시 구로구 구로동로 175 (구로동),02-855-1119
91,구로소방서 고척 119 안전센터,서울특별시 구로구 고척로 195 (고척동),02-2618-3104
92,구로소방서 수궁 119 안전센터,서울특별시 구로구 오리로 1285 (궁동),02-2685-6119
93,구로소방서 고일 119 안전센터,서울특별시 구로구 경인로 408 (고척동),02-2619-0119
94,송파소방서 가락 119 안전센터,서울특별시 송파구 양재대로 932 (가락동),02-409-0045
95,송파소방서 운동장 119 안전센터,서울특별시 송파구 올림픽로 25 (잠실동),02-2203-2380
96,송파소방서 잠실 119 안전센터,서울특별시 송파구 석촌호수로 151 (잠실동),02-422-0119
97,송파소방서 방이 119 안전센터,서울특별시 송파구 강동대로 286 (방이동),02-409-0059
98,송파소방서 거여 119 안전센터,서울특별시 송파구 마천로 329 (마천동),02-400-0119
99,송파소방서 마천 119 안전센터,서울특별시 송파구 오금로51길 56 (마천동),02-3401-2119
